,player_id,salary,playing_season
0,adamsja01,263356.0,2019
1,adamsst01,25842697.0,2019
2,adebaba01,3454080.0,2019
3,aldrico01,685340.0,2019
4,aldrila01,26000000.0,2019
5,alexani01,2964840.0,2019
6,allengr01,2429400.0,2019
7,allenja01,2376840.0,2019
8,aminual01,9258000.0,2019
9,anderju01,294432.0,2019
10,anderky01,9073050.0,2019
11,anderry01,5714583.0,2019
12,antetgi01,25842697.0,2019
13,antetth01,1445697.0,2019
14,anthoca01,2159029.0,2019
15,anunoog01,2281800.0,2019
16,arcidry01,3000000.0,2019
17,arizatr01,12200000.0,2019
18,asikom01,3000000.0,2019
19,augusdj01,7250000.0,2019
20,aytonde01,9562920.0,2019
21,bacondw01,1618520.0,2019
22,baglema01,8556120.0,2019
23,balllo01,8719320.0,2019
24,bambamo01,5697600.0,2019
25,bareajo01,2564753.0,2019
26,barneha02,24147727.0,2019
27,barnema02,2133541.0,2019
28,barrerj01,7839960.0,2019
29,bartowi01,12960000.0,2019
30,bateske01,1416852.0,2019
31,batumni01,25565217.0,2019
32,baynear01,5453280.0,2019
33,bazemke01,19269662.0,2019
34,bazleda01,2284800.0,2019
35,bealbr01,27093019.0,2019
36,beaslma01,2731714.0,2019
37,belinma01,5846154.0,2019
38,belljo01,1870564.0,2019
39,bembrde01,2603982.0,2019
40,bendedr01,1868556.0,2019
41,bertada01,7000000.0,2019
42,beverpa01,12345679.0,2019
43,birchkh01,3000000.0,2019
44,bitadgo01,2816760.0,2019
45,biyombi01,17000000.0,2019
46,bjeline01,6825000.0,2019
47,bledser01,15625000.0,2019
48,bogdabo01,8529386.0,2019
49,bogdabo02,17000000.0,2019
50,boldejo01,1780128.0,2019
51,boldema01,50752.0,2019
52,bongais01,1416852.0,2019
53,bookede01,27250000.0,2019
54,bouchch01,1588231.0,2019
55,bowmaky01,350189.0,2019
56,bradlav01,6767000.0,2019
57,bradlto01,1962360.0,2019
58,brazdig01,898310.0,2019
59,breweco01,289803.0,2019
60,bridgmi01,4161000.0,2019
61,bridgmi02,3755400.0,2019
62,broekry01,1443842.0,2019
63,brogdma01,20000000.0,2019
64,brookdi01,1618520.0,2019
65,brownbr01,1416852.0,2019
66,brownja02,6534829.0,2019
67,brownst02,1618520.0,2019
68,browntr01,3219480.0,2019
69,brunsja01,1416582.0,2019
70,bryanth01,7936508.0,2019
71,bullore01,4000000.0,2019
72,burketr01,2257814.0,2019
73,burksal01,2320044.0,2019
74,burtode02,1416852.0,2019
75,butleji01,32742000.0,2019
76,cabocbr01,1845301.0,2019
77,caldwke01,8089282.0,2019
78,cancavl01,1517981.0,2019
79,capelca01,16456522.0,2019
80,carrode01,7653754.0,2019
81,carteje01,1416852.0,2019
82,cartemi01,2028594.0,2019
83,cartevi01,2564753.0,2019
84,cartewe01,5201400.0,2019
85,carusal01,2750000.0,2019
86,caulewi01,2177483.0,2019
87,chandty01,2564753.0,2019
88,chandwi01,2564753.0,2019
89,chealjo01,163356.0,2019
90,chrisma01,1413272.0,2019
91,clarkbr01,2478840.0,2019
92,clarkga01,1427191.0,2019
93,clarkjo01,13437500.0,2019
94,claxtni01,898310.0,2019
95,clemoch01,568422.0,2019
96,collijo01,2686560.0,2019
97,colliza01,4240200.0,2019
98,conlemi01,32511623.0,2019
99,connapa01,1723050.0,2019
100,cookqu01,3000000.0,2019
101,cookty01,151504.0,2019
102,couside01,3500000.0,2019
103,covinro01,11301219.0,2019
104,crabbal01,17818456.0,2019
105,craigto01,2100000.0,2019
106,crawfja01,289803.0,2019
107,crowdja01,7815533.0,2019
108,culveja01,5813640.0,2019
109,curryse01,7441860.0,2019
110,curryst01,40231758.0,2019
111,danietr01,2509594.0,2019
112,davisan02,27093019.0,2019
113,davised01,4767000.0,2019
114,daviste02,898310.0,2019
115,dedmode01,13333334.0,2019
116,dellama01,9607500.0,2019
117,denglu01,4990000.0,2019
118,derozde01,27739975.0,2019
119,diallch01,1678854.0,2019
120,diallha01,1416852.0,2019
121,dienggo01,16229213.0,2019
122,dinwisp01,10600000.0,2019
123,divindo01,2905800.0,2019
124,doncilu01,7683360.0,2019
125,dortlu01,155647.0,2019
126,dotsoda01,1618520.0,2019
127,doumbse01,3285120.0,2019
128,doziepj01,183115.0,2019
129,dragigo01,19217900.0,2019
130,drumman01,27093019.0,2019
131,dudleja01,2564753.0,2019
132,dunnkr01,5348007.0,2019
